time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-03-13T10:24:33.725Z,14.4015,123.0328,21.817,4.7,mb,46,116,8.573,0.82,us,us7000jji7,2023-03-17T15:11:52.812Z,"23 km NNE of Sabang Indan, Philippines",earthquake,11.67,3.342,0.07,62,reviewed,us,us
2023-03-13T10:14:49.755Z,-24.1199,-66.7077,190.936,4.5,mb,51,36,1.782,0.92,us,us7000jji3,2023-03-13T11:35:16.040Z,"40 km WNW of San Antonio de los Cobres, Argentina",earthquake,8.57,2.702,0.043,159,reviewed,us,us
2023-03-13T09:04:59.658Z,18.4842,-70.4656,10,4.6,mb,75,59,0.521,0.88,us,us7000jjhw,2023-03-14T02:11:28.130Z,"Dominican Republic region",earthquake,5.68,1.88,0.045,146,reviewed,us,us
2023-03-13T06:49:21.929Z,-58.8029,-25.074,23.861,4.9,mb,56,82,15.757,0.46,us,us7000jjha,2023-03-13T07:19:22.040Z,"South Sandwich Islands region",earthquake,13.26,5.75,0.076,54,reviewed,us,us
2023-03-13T06:11:33.820Z,-17.4346,-178.7572,550.523,5,mb,60,66,3.058,0.58,us,us7000jjh3,2023-03-13T06:30:44.040Z,"Fiji region",earthquake,12.11,8.965,0.082,47,reviewed,us,us
2023-03-13T03:11:49.272Z,-3.8684,-76.6221,108.328,4.7,mb,81,104,2.744,0.67,us,us7000jjgg,2023-03-13T03:28:04.040Z,"48 km SSW of Alianza Cristiana, Peru",earthquake,9.09,7.128,0.034,269,reviewed,us,us
2023-03-13T01:37:15.297Z,-44.1078,177.0989,10,4.7,mb,37,92,3.102,0.34,us,us7000jjfv,2023-03-13T01:56:12.040Z,"off the east coast of the South Island of New Zealand",earthquake,8.02,1.945,0.13,18,reviewed,us,us
2023-03-13T01:34:29.897Z,38.1305,38.6864,0,4.7,mb,80,44,0.697,0.98,us,us7000jjft,2023-03-13T03:44:18.834Z,"12 km NNE of Sincik, Turkey",earthquake,3.7,4.235,0.058,91,reviewed,us,us
2023-03-12T23:51:13.920Z,-5.4614,154.2417,152.401,4.8,mb,58,70,2.425,0.66,us,us7000jjf8,2023-03-13T22:17:52.040Z,"167 km NW of Panguna, Papua New Guinea",earthquake,9.06,6.546,0.046,148,reviewed,us,us
2023-03-12T21:17:52.395Z,29.4408,130.697,35,4.7,mb,37,121,2.073,0.56,us,us7000jjek,2023-03-13T21:20:19.040Z,"Ryukyu Islands, Japan",earthquake,7.2,1.73,0.066,69,reviewed,us,us
2023-03-12T20:56:51.580Z,-10.7682,166.755,9.249,5.1,mww,56,68,4.671,0.68,us,us7000jje1,2023-03-12T21:17:09.040Z,"104 km E of Lata, Solomon Islands",earthquake,10.04,4.784,0.078,16,reviewed,us,us
2023-03-12T18:29:47.390Z,-10.0589,-79.2898,28.478,4.5,mb,38,107,3.074,0.77,us,us7000jjd9,2023-03-19T17:32:32.040Z,"119 km WSW of Puerto Casma, Peru",earthquake,8.85,7.166,0.115,22,reviewed,us,us
2023-03-12T18:16:26.508Z,11.9125,143.2207,10,4.6,mb,38,99,2.316,0.98,us,us7000jksp,2023-03-19T17:19:01.040Z,"217 km SW of Merizo Village, Guam",earthquake,11.32,1.918,0.109,25,reviewed,us,us
2023-03-12T11:43:43.642Z,24.3038,94.7545,112.595,4.8,mb,62,62,4.101,0.83,us,us7000jjbm,2023-03-12T11:59:48.040Z,"76 km ESE of W?ngjing, India",earthquake,8.48,6.93,0.075,54,reviewed,us,us
2023-03-12T11:33:58.129Z,36.5084,70.9358,159.124,4.6,mb,81,73,2.497,1.02,us,us7000jjbk,2023-03-12T11:49:43.040Z,"40 km SSE of Jurm, Afghanistan",earthquake,7.27,7.283,0.047,134,reviewed,us,us
2023-03-12T07:43:20.334Z,-12.0577,165.8247,10,5.7,mww,67,58,3.626,0.71,us,us7000jjax,2023-03-13T13:07:33.040Z,"147 km S of Lata, Solomon Islands",earthquake,8.73,1.87,0.057,30,reviewed,us,us
2023-03-12T04:39:11.689Z,13.7839,-90.546,75.949,4.6,mb,45,159,0.745,0.87,us,us7000jjah,2023-03-12T14:47:24.930Z,"24 km SE of Iztapa, Guatemala",earthquake,4.82,6.64,0.032,297,reviewed,us,us
2023-03-12T03:20:53.959Z,-58.7817,-24.7657,10,4.7,mb,17,102,7.89,0.58,us,us7000jja0,2023-03-12T03:37:48.040Z,"South Sandwich Islands region",earthquake,8.23,1.837,0.133,17,reviewed,us,us
